MLOGP,RDCHI,quantitative response of LC50
1.859,1.989,3.432
1.364,1.155,2.659
4.833,2.913,6.36
2.359,2.527,4.39
3.652,3.557,4.249
0.996,1.746,3.358
0.977,3.191,2.506
0.706,1.689,1.22
3.617,2.074,5.61
2.507,2.334,5.402
1.969,2.168,4.489
4.761,3.273,5.551
4.416,2.591,5.641
3.16,2.827,5.301
2.604,1.475,3.46
2.127,1.908,5.19
1.672,1.225,3.28
1.748,2.377,4.79
0.094,1.334,5.993
3.048,2.813,4.632
2.942,1.908,3.791
4.416,2.57,5.422
3.185,2.93,4.485
2.608,1.857,3.002
1.126,3.536,3.594
3.11,2.154,4.251
0.189,4.677,6.064
0.734,2.548,3.25
0.59,1.909,3.85
5.453,2.837,6.858
3.259,1.975,4.53
4.219,3.945,5.03
2.892,3.487,3.619
3.291,1.549,4.927
4.761,3.537,4.307
-5.199,4.3,3.077
2.843,3.244,4.022
3.983,3.431,4.9
2.067,1.8,3.941
2.942,1.918,3.653
5.989,2.733,6.989
3.112,2.997,3.531
2.193,2.031,4.179
1.672,1.334,2.642
-0.759,1.929,4.107
3.558,1.978,6.72
-0.875,3.595,6.43
3.247,2.789,6.074
3.259,1.979,4.3
4.449,2.988,6.56
1.936,3.852,8.028
0.787,2.223,2.899
0.706,1.768,1.22
4.296,3.055,5.878
3.373,3.471,4.943
0.198,1.975,5.47
5.989,2.712,6.99
0.787,2.266,5.551
3.133,2.324,6.21
1.145,2.637,9.15
-0.273,1.559,3.825
3.945,2.344,5.5
2.754,2.454,4.886
4.634,2.018,5.6
0.332,2.706,2.072
2.086,2.455,3.047
2.729,1.975,5.43
1.834,2.176,5.069
2.226,1.509,2.608
1.348,2.09,4.024
3.21,1.924,4.933
2.273,2.459,4.288
2.241,2.09,4.14
0.64,2.614,5.762
3.11,2.16,4.66
1.406,3.511,2.593
1.262,2.147,2.272
2.736,2.187,5.372
2.682,2.903,9.141
4.76,2.859,6.173
3.742,3.136,6.042
3.265,2.134,6.131
2.459,1.475,4.002
3.275,2.661,5.636
1.643,2.09,3.068
0.096,2.964,3.508
3.827,3.362,5.102
1.358,3.325,3.277
3.314,2.027,4.495
0.796,1.84,6.251
0.202,1.334,2.815
4.48,3.258,5.721
3.967,3.368,5.475
4.275,4.174,4.112
2.942,1.989,4.502
1.769,2.239,4.494
-0.812,2.478,7.378
2.876,1.857,3.918
2.729,1.975,4.797
1.628,2.231,3.298
5.551,3.231,6.004
0.567,2.239,2.668
2.461,1.975,4.852
3.169,2.238,4.025
1.971,2.52,8.207
4.268,3.164,7.087
3.169,2.224,4.756
3.477,1.857,4.819
2.746,1.667,3.809
-1.169,2.333,2.736
4.449,2.988,6.56
2.981,2.784,6.475
2.223,2.903,8.15
4.76,2.868,6.281
-1.053,1.334,3.358
4.27,3.354,6.212
0.198,1.782,4.906
0.347,1.334,0.935
4.405,2.456,6.399
-0.259,1.989,3.34
2.241,2.119,4.01
3.478,1.908,4.787
3.84,3.373,4.257
-0.273,1.577,3.936
2.702,2.626,6
4.068,2.758,5.979
4.548,3.101,4.56
3.478,1.924,4.138
1.947,2.005,3.061
1.667,2.031,4.462
2.842,2.154,4.268
2.851,2.176,3.357
2.821,2.502,3.078
4.579,3.875,8.067
-0.31,1.918,4.221
2.239,2.334,3.718
3.028,2.225,6.176
2.638,1.401,4.33
2.06,2.394,6.579
-0.917,1.84,2.957
3.958,2.488,3.575
2.729,1.979,5.16
-1.202,1.795,3.769
5.469,2.573,6.623
1.887,2.048,3.615
4.76,2.995,6.027
3.677,2.324,5.001
2.195,3.082,7.044
2.481,2.133,2.348
1.297,2.042,2.829
3.876,2.539,4.909
1.466,2.15,2.937
3.115,2.706,6.075
3.204,3.344,2.955
1.632,5.369,4.27
0.094,1.334,3.78
1.737,2.472,6.848
3.124,1.8,4.34
-1.204,2.214,3.177
-0.273,1.401,0.704
3.386,2.284,4.147
1.919,2.72,7.671
0.454,2.227,6.059
-0.392,3.629,3.573
1.543,2.527,3.43
1.533,2.274,4.018
1.119,2.25,3.644
4.19,2.225,7.012
2.354,2.455,3.783
0.957,5.839,4.566
0.586,1.577,3.16
3.395,2.692,5.433
4.452,2.862,6.508
1.115,1,4.632
0.083,3.249,2.928
0.821,3.06,2.533
1.929,3.197,4.187
1.246,2.046,3.48
3.429,2.749,5.3
1.859,1.918,5.168
6.47,2.805,8.78
2.127,1.924,4.426
1.587,1.84,2.778
3.508,3.281,7.802
2.509,2.09,3.64
4.214,2.687,6.21
0.408,1.689,3.587
2.026,1.265,3.577
4.332,4.121,8.164
1.228,3.039,3.025
5.165,3.111,6.219
5.453,2.887,6.723
0.076,1.84,3.788
2.859,2.614,4.7
3.696,3.117,5.17
2.273,2.478,3.331
3.677,2.344,4.98
3.267,2.318,4.1
2.226,1.401,3.631
2.574,2.168,3.978
3.956,3.123,5.37
1.364,1.334,6.102
-1.095,1.726,1.188
0.779,2.709,2.201
3.747,2.935,8.113
3.635,3.12,4.962
-0.463,2.434,5.12
1.676,1.509,5.308
2.087,3.468,4.652
4.478,4.984,5.44
-1.96,2.021,3.908
2.193,2.048,4.385
1.06,2.272,4.216
3.314,2.027,5.461
4.366,2.031,5.55
-0.049,1.155,4.56
1.064,2.72,6.883
4.579,3.875,7.693
0.906,3.034,7.858
4.092,2.12,5.389
2.378,2.472,3.474
6.232,2.728,7.61
4.091,3.568,5.19
-0.321,6.439,4.779
1.907,2.892,3.536
3.051,2.727,4.851
1.838,2.611,3.155
5.124,2.515,6.777
3.089,3.015,6.442
4.279,3.962,9.133
6.47,2.821,8.44
-0.317,1.155,1.057
3.562,2.119,4.317
0.996,1.723,2.827
1.859,1.918,3.76
0.224,2.108,1.888
1.602,2.687,7.341
4.332,2.7,5.406
-0.283,2.17,3.775
-0.937,2.299,0.46
3.648,2.427,6.099
2.347,3.243,3.917
2.193,1.96,4.038
0.139,2.748,2.359
3.562,2.281,5.548
1.348,2.119,4.016
1.859,1.908,3.863
1.769,1.989,3.976
1.616,2.97,4.168
-0.234,1.975,3.716
1.442,1.509,2.576
3.945,2.324,5.009
2.014,3.767,4.333
1.442,3.878,5.291
2.054,2.891,9.14
-0.665,1.726,3.589
3.876,2.614,5.597
3.842,2.887,6.109
3.026,2.828,4.339
2.509,2.108,3.84
0.491,2.854,8.349
1.294,2.203,3.476
2.241,2.108,4.04
0.289,2.587,3.339
3.259,2.048,3.772
1.579,2.397,4.437
-1.053,1.334,0.122
2.66,2.408,3.618
2.233,2.415,5.545
0.559,2.137,3.669
2.195,4.365,5.132
2.942,1.924,3.524
3.322,2.901,7.676
2.201,3.83,6.424
-0.172,1.155,2.958
4.634,2.027,4.874
5.472,2.676,5.64
0.59,1.7,2.232
2.031,2.679,6.447
1.321,2.402,7.128
3.907,3.934,9.063
2.296,1.924,4.464
3.267,2.119,5.373
4.832,4.074,8.582
2.122,2.7,5.01
0.8,1.509,3.118
2.226,1.401,3.492
2.729,1.975,5.437
2.59,2.546,3.601
2.723,2.321,7.337
1.648,2.689,7.037
2.288,2.848,3.22
0.552,2.485,2.54
1.859,1.924,3.71
1.649,2.527,3.138
0.893,1.918,4.263
1.749,3.666,4.225
2.239,2.296,5.441
0.454,2.072,4.858
3.546,2.847,3.725
3.046,2.027,5.632
2.265,2.344,4.032
2.255,1.8,2.48
3.374,3.061,3.599
4.281,3.357,4.713
0.538,1.952,2.511
1.326,3.024,5.054
3.314,2.018,5.43
1.662,5.831,3.884
3.306,2.832,4.301
3.586,2.758,5.381
4.153,3.383,5.783
0.59,1.879,2.838
4.063,1.975,4.83
2.826,2.709,5.036
3.77,3.091,4.01
-0.081,1.678,1.07
5.989,2.758,8.16
-0.081,1.768,3.758
-0.755,2.214,5.13
2.066,2.284,3.711
2.06,2.06,3.08
0.143,4.805,3.795
4.794,3.99,9.945
3.988,3.047,4.121
1.94,1.997,3.226
3.18,3.292,4.992
2.226,1.265,3.718
1.191,2.899,3.47
4.115,3.934,10.047
1.971,2.294,4.608
3.33,2.281,6.54
2.577,2.707,3.603
3.374,2.118,3.522
2.081,1.509,4.322
2.124,3.455,4.305
1.817,1.334,2.49
0.736,2.405,3.028
4.203,1.997,5.47
0.202,1.334,3.133
1.817,1.225,3.254
0.057,2.093,6.964
0.868,3.59,2.626
1.761,2.66,5.976
4.416,2.605,5.626
2.957,1.509,4.186
3.617,2.074,6.11
2.729,1.975,4.742
2.842,2.141,4.611
4.912,2.659,6.394
5.4,3.936,8.112
2.273,2.575,3.63
-0.317,1.155,0.55
1.415,2.074,5.001
1.587,1.654,2.352
-0.45,1.823,2.764
5.208,3.691,6.383
0.586,1.577,2.09
-0.273,1.475,3.392
-0.564,1.5,2.332
-0.081,1.577,0.59
0.349,2.397,5.76
1.272,2.473,4.733
0.18,1.627,2.188
1.173,1.667,2.421
0.036,4.758,4.602
3.3,3.469,4.92
2.193,2.134,5.46
5.65,4.026,7.1
3.168,4.055,6.389
3.23,2.63,4.355
3.617,2.074,5.76
1.459,2.72,6.52
1.473,2.241,4.072
3.618,3.197,4.878
1.945,2.461,3.351
1.586,2.674,4.823
1.246,2.046,5.642
0.202,1.225,0.673
3.138,1.509,3.87
3.773,3.759,4.501
0.8,1.509,1.73
2.081,1.401,3.485
2.274,2.005,3.115
-0.172,2.629,3.839
4.063,1.96,4.75
3.447,2.307,4.932
-6.446,4.624,3.088
2.066,2.284,3.53
3.692,3.883,6.756
3.326,2.837,4.651
2.461,1.975,5.691
1.859,1.989,5.79
